iter	Logloss
0	0.6212750755
1	0.5667260096
2	0.5246299566
3	0.4849005454
4	0.4510293765
5	0.4254152054
6	0.4009512417
7	0.3785673406
8	0.3624241291
9	0.3472399048
10	0.3342225587
11	0.3233011212
12	0.3134116832
13	0.3053634414
14	0.2980878164
15	0.2916212786
16	0.2865220426
17	0.2811989141
18	0.2771571589
19	0.2720945889
20	0.2679640217
21	0.2650377811
22	0.2614313542
23	0.2579647181
24	0.25593723
25	0.2533136625
26	0.2519993942
27	0.2499349024
28	0.2484772195
29	0.2467294267
30	0.2449753931
31	0.2435238749
32	0.2426783652
33	0.2415212294
34	0.2400155426
35	0.2380696712
36	0.23727578
37	0.2365609836
38	0.2355873165
39	0.2344473276
40	0.2338233558
41	0.2329197866
42	0.2322579468
43	0.2317429699
44	0.2312305337
45	0.2308916764
46	0.2305745337
47	0.2299865244
48	0.2295679943
49	0.2291809344
50	0.2288953738
51	0.2284888243
52	0.2281700182
53	0.2278051172
54	0.2275491947
55	0.2272568208
56	0.2266089884
57	0.2262361896
58	0.2258302918
59	0.2256101984
60	0.2254872088
61	0.2252687247
62	0.2250405581
63	0.2248051037
64	0.2243719791
65	0.2242054313
66	0.2240164387
67	0.2237407848
68	0.2234936746
69	0.2233306916
70	0.2231994204
71	0.2230926877
72	0.222941258
73	0.2228064598
74	0.2227095926
75	0.222623371
76	0.2224745848
77	0.2223710882
78	0.2222266041
79	0.221946612
80	0.2217602448
81	0.2216962917
82	0.2215355226
83	0.2214900669
84	0.221357875
85	0.2212477451
86	0.2211480883
87	0.2210030049
88	0.220938746
89	0.2207762588
90	0.2207175442
91	0.2206696602
92	0.2206147405
93	0.2205384647
94	0.2205036984
95	0.2204271027
96	0.2202506911
97	0.2201403485
98	0.2199937012
99	0.2199086403
100	0.2198172837
101	0.2197258929
102	0.2196064395
103	0.2195576566
104	0.2195179231
105	0.2194976616
106	0.2194261637
107	0.2193550692
108	0.2191228171
109	0.2190663093
110	0.2189671206
111	0.2189082615
112	0.2187661782
113	0.2187043946
114	0.2186197821
115	0.2185969058
116	0.2185646277
117	0.2185306393
118	0.2185001511
119	0.2184680749
120	0.2184406033
121	0.2183539764
122	0.2183293649
123	0.2182977735
124	0.2182523449
125	0.2181964173
126	0.2180680361
127	0.2180370391
128	0.217974457
129	0.217936191
130	0.2178926719
131	0.2177893807
132	0.217774643
133	0.2177231459
134	0.2176914478
135	0.2176822813
136	0.2176729328
137	0.2176286456
138	0.2175943565
139	0.2175480181
140	0.2175135767
141	0.2175084144
142	0.2174694792
143	0.2174466247
144	0.2174406389
145	0.2174153959
146	0.2174021248
147	0.2173997431
148	0.2173808373
149	0.2173678363
150	0.2172553805
151	0.2172298792
152	0.2172096982
153	0.2170657822
154	0.2170429714
155	0.2169982827
156	0.216980172
157	0.2169633388
158	0.2169292125
159	0.2169242753
160	0.2169000002
161	0.2168862682
162	0.2168531474
163	0.216794575
164	0.2167761162
165	0.2167371322
166	0.2166947559
167	0.216688929
168	0.2166532557
169	0.2166211644
170	0.2166020244
171	0.2165885165
172	0.2165402468
173	0.2165283428
174	0.2165105397
175	0.2164924385
176	0.2164860088
177	0.2164741191
178	0.2164608139
179	0.2164109017
180	0.2163954421
181	0.2163621091
182	0.2163536871
183	0.2163459059
184	0.2163301108
185	0.2161753621
186	0.2161560032
187	0.2161353495
188	0.2161319078
189	0.2161159339
190	0.2160859516
191	0.2160718875
192	0.2160334073
193	0.2160175986
194	0.215934292
195	0.2159149814
196	0.2158826927
197	0.2158766845
198	0.2158494082
199	0.2158220476
200	0.2158253117
201	0.2158013159
202	0.2157909303
203	0.215778759
204	0.2157651612
205	0.2157495838
206	0.2157305505
207	0.2156740734
208	0.2156639043
209	0.2156396111
210	0.2156331853
211	0.2155834981
212	0.215569908
213	0.2155647126
214	0.2155626574
215	0.2155543176
216	0.2155522344
217	0.2155443312
218	0.2154964988
219	0.2154548275
220	0.2154451294
221	0.2154367434
222	0.2154404548
223	0.2154368614
224	0.2154125372
225	0.2153865145
226	0.2153604104
227	0.2153468494
228	0.2153342662
229	0.2153021318
230	0.2152953623
231	0.2152823108
232	0.2152735139
233	0.215245661
234	0.2152336416
235	0.2152180023
236	0.2152084439
237	0.2151845543
238	0.215169756
239	0.2151443854
240	0.2150478387
241	0.215024817
242	0.2149956911
243	0.214972585
244	0.2149575532
245	0.2149507034
246	0.2149243676
247	0.2148985352
248	0.2148755285
249	0.2148754471
250	0.2148137198
251	0.2148016852
252	0.2147518079
253	0.2147396112
254	0.2146453318
255	0.2146324769
256	0.2146115847
257	0.2145921101
258	0.2145558936
259	0.2145463812
260	0.2144991572
261	0.2144810303
262	0.2144313607
263	0.2144256324
264	0.2144214969
265	0.2144112156
266	0.2143429526
267	0.2143293594
268	0.2142989352
269	0.2142594197
270	0.2142518652
271	0.2142341573
272	0.2142070445
273	0.2141963774
274	0.2141840069
275	0.2141587037
276	0.2141357377
277	0.2140794915
278	0.2140427996
279	0.2140406106
280	0.2139991851
281	0.2139769041
282	0.2138989162
283	0.2138841895
284	0.2138348564
285	0.2137665141
286	0.2137590212
287	0.2137493006
288	0.2137329016
289	0.2137197674
290	0.2137057015
291	0.2136917353
292	0.2136784992
293	0.2136527153
294	0.2136072964
295	0.2135980691
296	0.2135770918
297	0.2135621442
298	0.2135228838
299	0.2135101382
