iter	Passed	Remaining
0	41	12535
1	84	12566
2	126	12537
3	162	12054
4	201	11870
5	239	11713
6	272	11389
7	313	11437
8	353	11433
9	397	11527
10	435	11446
11	474	11386
12	510	11276
13	590	12058
14	738	14023
15	878	15591
16	1030	17159
17	1172	18370
18	1322	19559
19	1521	21294
20	1672	22213
21	1830	23129
22	1982	23875
23	2144	24661
24	2298	25281
25	2439	25712
26	2593	26219
27	2756	26775
28	2853	26664
29	3008	27076
30	3156	27393
31	3309	27715
32	3473	28103
33	3649	28548
34	3778	28607
35	3930	28824
36	4072	28945
37	4202	28972
38	4345	29082
39	4483	29143
40	4616	29162
41	4752	29193
42	4888	29217
43	5045	29355
44	5167	29284
45	5318	29365
46	5491	29559
47	5677	29807
48	5850	29966
49	6001	30006
50	6147	30014
51	6299	30041
52	6442	30026
53	6581	29981
54	6713	29905
55	6864	29908
56	6999	29840
57	7111	29670
58	7242	29585
59	7416	29666
60	7570	29661
61	7734	29692
62	7887	29673
63	8030	29613
64	8160	29503
65	8291	29395
66	8429	29314
67	8572	29246
68	8707	29151
69	8858	29106
70	9014	29074
71	9153	28986
72	9296	28909
73	9523	29083
74	9703	29109
75	9847	29023
76	10000	28961
77	10186	28992
78	10339	28923
79	10492	28853
80	10635	28754
81	10770	28632
82	10935	28591
83	11095	28532
84	11238	28425
85	11370	28294
86	11502	28161
87	11637	28036
88	11839	28069
89	11990	27978
90	12121	27839
91	12264	27727
92	12409	27621
93	12541	27483
94	12721	27450
95	12890	27391
96	13049	27310
97	13203	27214
98	13381	27168
99	13530	27061
100	13661	26917
101	13796	26782
102	13937	26657
103	14072	26522
104	14197	26366
105	14341	26247
106	14477	26114
107	14596	25948
108	14744	25836
109	14895	25729
110	15036	25603
111	15177	25476
112	15306	25330
113	15449	25207
114	15586	25073
115	15744	24973
116	15876	24831
117	16009	24693
118	16143	24554
119	16296	24445
120	16453	24340
121	16600	24220
122	16756	24112
123	16893	23978
124	17068	23895
125	17197	23748
126	17331	23609
127	17477	23485
128	17611	23345
129	17767	23234
130	17914	23110
131	18065	22991
132	18210	22865
133	18362	22747
134	18505	22617
135	18638	22476
136	18783	22348
137	18930	22222
138	19085	22106
139	19251	22001
140	19391	21866
141	19526	21727
142	19665	21591
143	19811	21462
144	19954	21330
145	20103	21204
146	20270	21098
147	20419	20971
148	20559	20835
149	20696	20696
150	20837	20561
151	20968	20416
152	21106	20278
153	21266	20161
154	21404	20023
155	21545	19888
156	21676	19743
157	21807	19598
158	21960	19474
159	22121	19355
160	22255	19214
161	22393	19075
162	22533	18939
163	22676	18804
164	22809	18662
165	22937	18516
166	23086	18386
167	23225	18248
168	23405	18142
169	23563	18018
170	23699	17878
171	23836	17738
172	23969	17596
173	24119	17465
174	24277	17341
175	24420	17205
176	24575	17077
177	24733	16951
178	24883	16820
179	25039	16693
180	25176	16552
181	25314	16412
182	25484	16293
183	25638	16163
184	25782	16026
185	25926	15890
186	26094	15768
187	26235	15629
188	26381	15493
189	26545	15368
190	26691	15232
191	26824	15088
192	26966	14950
193	27089	14801
194	27232	14663
195	27386	14531
196	27564	14412
197	27711	14275
198	27864	14142
199	28018	14009
200	28165	13872
201	28316	13737
202	28448	13593
203	28638	13476
204	28774	13334
205	28914	13193
206	29042	13048
207	29179	12906
208	29331	12771
209	29488	12638
210	29672	12515
211	29811	12374
212	29942	12229
213	30084	12090
214	30228	11950
215	30390	11818
216	30558	11688
217	30721	11555
218	30870	11417
219	31012	11277
220	31164	11140
221	31300	10997
222	31447	10858
223	31593	10719
224	31754	10584
225	31908	10448
226	32054	10308
227	32197	10167
228	32335	10025
229	32471	9882
230	32661	9756
231	32804	9615
232	32995	9487
233	33188	9360
234	33355	9226
235	33489	9081
236	33668	8949
237	33849	8817
238	33984	8673
239	34122	8530
240	34266	8389
241	34421	8249
242	34586	8112
243	34736	7972
244	34903	7835
245	34998	7682
246	35110	7533
247	35246	7390
248	35374	7245
249	35531	7106
250	36024	7032
251	36208	6896
252	36363	6755
253	36513	6612
254	36661	6469
255	36788	6323
256	36922	6177
257	37048	6031
258	37200	5888
259	37358	5747
260	37498	5603
261	37624	5457
262	37772	5314
263	37908	5169
264	38053	5025
265	38179	4880
266	38310	4734
267	38452	4591
268	38571	4445
269	38702	4300
270	38826	4154
271	39062	4021
272	39158	3872
273	39283	3727
274	39409	3582
275	39552	3439
276	39683	3295
277	39824	3151
278	40037	3013
279	40218	2872
280	40375	2730
281	40618	2592
282	40795	2450
283	41003	2310
284	41227	2169
285	41424	2027
286	41600	1884
287	41798	1741
288	42111	1602
289	42387	1461
290	42609	1317
291	42823	1173
292	42971	1026
293	43123	880
294	43270	733
295	43392	586
296	43551	439
297	43732	293
298	43928	146
299	44124	0
